评论者姓名,评论时间,评论点赞数,评论者IP归属地,性别,评论者关注数,评论者粉丝数,评论内容
极速拍档-Jacky,2024-04-23 12:11:49,109,来自山东,男,579,267万,怎么样? 排面拉得满不满? 各位29号欢迎来到车展打卡集邮!  最初大家都不信做运动轿车能成，但我坚信，只是因为这个需求没被满足，并不是没有。
Brothers兄弟帮,2024-04-23 11:13:41,48,来自广东,男,345,65,竟然有jacky@极速拍档-Jacky
繁华依旧522,2024-04-23 11:05:25,27,来自江西,男,362,319,大家25日9时30分看雷总直播
Sky_ID,2024-04-23 11:10:17,37,来自北京,男,660,150,@极速拍档-Jacky su7和帝豪哪个好）不是
京东手机通讯,2024-04-23 11:04:59,29,来自北京,男,240,511.7万,什么！要抽su7？？？
指法芬芳张大z,2024-04-23 11:00:33,12,来自河北,女,823,253,转发抽一台小米SU7？？？
MI赵逸尘,2024-04-23 11:01:27,6,来自河北,男,249,7716,偶遇雷总，然后合照签名
风再吹大点啊,2024-04-23 17:13:33,3,来自湖北,男,173,161,不错不错
阿姨我不想努力了丨,2024-04-23 15:14:02,4,来自浙江,男,189,13,我以为抽一台su7
passion_abcd,2024-04-23 15:49:57,2,来自河南,男,1303,2044,期待
迟早都是富婆的,2024-04-23 13:53:06,2,来自江西,女,546,444,
烛光照亮了晚餐_,2024-04-23 13:11:17,1,来自广西,女,267,96,小米小米
研机大侠,2024-04-23 11:39:45,1,来自河北,男,231,68,期待
科技第壹线,2024-04-23 12:17:21,2,来自四川,男,62,0,这不抽一辆小米su7啊
玛丽莲胖露露,2024-04-23 14:35:06,1,来自内蒙古,女,137,258,加速啊加速！我要开我的su7！！！
笨的真是可以,2024-04-23 11:07:28,2,来自浙江,男,2309,1.7万,正好有几天假期重合，应该会非常的热闹的。
要怎么好好说再见_,2024-04-23 11:00:42,1,来自山西,男,154,8,我来了
平新时代,2024-04-24 16:44:13,1,来自湖北,女,476,22,在W2馆·W203展位等你打卡！
特战狼牙2011,2024-04-24 16:22:29,1,来自广东,男,831,657,期待
