评论者姓名,评论时间,评论点赞数,评论者IP归属地,性别,评论者关注数,评论者粉丝数,评论内容
小米汽车,2024-04-25 15:47:56,4,来自北京,男,36,44.6万,4月25日至5月4日，关注“小米汽车”公众号，每小时送不锈钢马克杯、合金T恤，每天送手机、车模。发送消息“答题抽奖”，即可参与。
神得强Steven,2024-04-25 00:26:17,15,来自北京,男,1532,1145.4万,#小米SU7#北京车展发布会见
JX谢佳橙,2024-04-25 09:03:52,1,来自上海,男,759,1272,北京国际车展小米汽车发布会倒计时20分钟！蹲一个橙色车模！@雷军 @陈波_小米生态链
神得强Steven,2024-04-25 09:32:10,0,来自北京,男,1532,1145.4万,小米汽车北京车展发布会直播中！
Amor_叶叶叶,2024-04-25 09:20:51,0,来自安徽,男,1257,5.1万,一起来看
杰哥我爱你呀,2024-04-25 09:34:51,1,来自北京,女,3230,6822,#小米su7# 北京车展发布会见
浅笑深忆,2024-04-25 02:51:39,1,来自浙江,男,2106,603,#小米SU7#北京车展发布会见
玺哥一农LX,2024-04-25 00:43:13,1,来自河北,男,1676,393,#小米SU7#北京车展发布会见
卡殿不拽,2024-04-25 09:42:24,1,来自江苏,男,151,64,牛逼，哈哈哈哈哈
wzzlzlwz,2024-04-26 02:04:20,1,来自湖北,女,1754,186,#小米SU7#北京车展发布会见
冯先生的微博,2024-04-25 21:33:36,1,来自广西,男,1557,606,评“#小米SU7#
linno0,2024-04-25 15:26:32,1,来自广东,男,2021,200,6666
好久不飞的鸟,2024-04-25 09:55:26,1,来自辽宁,男,282,36,#小米SU7#北京车展发布会见
Blues蓝雨,2024-04-25 09:31:07,1,来自江西,女,299,465,正在看#小米su7北京车展发布会# 
平新时代,2024-04-25 09:24:13,1,来自湖北,女,476,22,别家的画质好多了
纪宝宝不想长大,2024-04-25 08:30:23,1,来自江苏,女,313,259,#小米SU7#北京车展发布会见
阿布都咖喱,2024-04-25 08:22:58,1,来自重庆,男,82,6,#小米SU7#北京车展发布会见
小所数码,2024-04-25 08:07:38,1,来自河北,男,471,1.2万,#小米SU7#北京车展发布会见
平新时代,2024-04-25 06:22:17,1,来自湖北,女,476,22,#小米SU7#北京车展发布会见
李成良喔,2024-04-25 00:33:17,1,来自江西,男,840,25,#小米SU7#北京车展发布会见
仇犹JOE,2024-04-25 00:18:08,1,来自山西,男,543,125,#小米SU7#北京车展发布会见
肉包包包包包包包包包,2024-04-26 04:26:45,0,来自江苏,女,503,184,#小米SU7#北京车展发布会见
杨杨得意53,2024-04-26 00:33:24,0,来自四川,女,1984,135,#小米SU7#北京车展发布会见
好客山东2022,2024-04-25 23:55:16,0,来自山东,男,623,1778,#小米SU7#北京车展发布会见
薇WIF,2024-04-25 23:30:06,0,来自湖南,男,5725,1598,#小米SU7#北京车展发布会见
lO24陇尚科技,2024-04-25 23:19:38,0,来自甘肃,男,570,592,#小米SU7#北京车展发布会见
抱抱小海豹,2024-04-25 23:00:59,0,来自四川,女,2038,226,#小米SU7#北京车展发布会见
我是一隻魚需要水裡的空氣,2024-04-25 22:45:18,0,来自云南,男,155,35,“#小米SU7#北京车展发布会见”
西山跟跟,2024-04-25 22:29:02,0,来自山西,男,1821,28,转发微博
郭琛本尊,2024-04-25 22:25:18,0,来自云南,男,277,532,“#小米SU7#北京车展发布会见”
福星高照A888,2024-04-25 22:25:03,0,来自山西,女,1768,842,#小米su7# 北京车展发布会见
Acuerate-闻而如声,2024-04-25 21:52:41,0,来自辽宁,男,550,1221,#小米SU7#北京车展发布会见
trussliz,2024-04-25 21:40:43,0,来自上海,女,930,172,#小米SU7#北京车展发布会见
A笨笨鸭A,2024-04-25 21:10:20,0,来自广东,男,1037,98,#小米SU7#北京车展发布会见
都是飒雕好巧,2024-04-25 21:04:58,0,来自山东,男,580,1990,“#小米SU7#北京车展发布会见”
甜甜圈小小林,2024-04-25 20:17:08,0,来自广西,女,828,35,#小米SU7#北京车展发布会见
小杨真的很可以_,2024-04-25 20:04:26,0,来自河北,女,8434,3141,#小米SU7#北京车展发布会见
龙光焕发龙华富贵万柿兴龙,2024-04-25 19:57:37,0,来自广东,男,810,712,“#小米SU7#北京车展发布会见”
鹿虎You的小小瑶,2024-04-25 19:06:52,0,来自黑龙江,女,389,2420,#小米SU7#北京车展发布会见#
评论员特约,2024-04-25 19:01:56,0,来自福建,女,52,1,#小米SU7#北京车展发布会见
吉星小锦鲤,2024-04-25 18:53:07,0,来自山东,男,2235,287,小米SU7北京车展发布会见 #小米SU7#北京车展发布会见
我还是喜欢开我的AE86,2024-04-25 18:50:32,0,来自湖北,男,1185,937,#小米SU7# 北京车展发布会见
_做我肩上听风的蝴蝶y,2024-04-25 18:45:13,0,来自北京,女,300,287,#小米SU7#北京车展发布会见
无敌小白锦鲤,2024-04-25 16:35:42,0,来自安徽,女,973,321,#小米SU7#北京车展发布会见
陌上清浅-,2024-04-25 16:20:39,0,来自北京,女,1257,32.6万,
漫天紫星love,2024-04-25 16:04:48,0,来自上海,女,323,154,
儒雅的一个人呀,2024-04-25 15:09:48,0,来自广东,男,758,341,#小米SU7#北京车展发布会见
Torpedo1989,2024-04-25 15:03:22,0,来自江苏,女,1940,180,“#小米SU7#北京车展发布会见”
叽里与咕噜噜,2024-04-25 14:48:02,0,来自河南,男,2281,86,#小米SU7#北京车展发布会见
Aliciasfafengbiji,2024-04-25 14:05:22,0,来自广西,女,1495,36,#小米SU7#北京车展发布会见
生鱼忧患_咸鱼下饭,2024-04-25 14:04:28,0,来自福建,女,897,193,#小米SU7#北京车展发布会见
时来运转好运锦鲤,2024-04-25 13:47:11,0,来自广东,女,1077,9,#小米SU7#北京车展发布会见
一课钟,2024-04-25 13:33:13,0,来自广西,男,841,1676,#小米SU7#北京车展发布会见
会飞的米兔,2024-04-25 13:31:04,0,来自广东,男,1927,447,#小米SU7#北京车展发布会见
在杯沿上,2024-04-25 12:57:27,0,来自浙江,男,947,7,转发微博
Shawn_Vincent,2024-04-25 12:53:35,0,来自河北,男,342,147,#小米SU7# 北京车展发布会见
FFFa条,2024-04-25 12:50:16,0,来自吉林,男,3626,466,#小米SU7#
白马一跃羽檄北来,2024-04-25 12:48:26,0,来自河北,男,240,14,有回放吗
意婉洲,2024-04-25 12:33:29,0,来自湖北,女,376,75,#小米SU7#北京车展发布会见
一只不知名的spurs球迷,2024-04-25 12:27:34,0,来自山东,男,1729,693,#小米SU7#北京车展发布会见”
牙牙的菜菜,2024-04-25 12:24:48,0,来自江苏,女,1930,4276,#小米SU7#北京车展发布会见
