Username,Content,Post Time,Shares,Comments,Likes
小米汽车,"今天上午09:20，小米汽车北京车展发布会见！
听@雷军 和大家聊聊：
上市以来的成绩和2024年的新计划。
转评“#小米SU7#北京车展发布会见”，抽送一台小米14。
#小米SU7北京车展发布会# 小米汽车的微博直播 小米汽车北京车展发布会",10小时前,2002,5931,1729
Blood旌旗,"截至4月25日，#小米SU7#锁单量达75723台！

上市28天，交付5781台，今年计划交付100000台；

女性购买者占比28%，预估女性车主占比40-50%；

城市NOA计划5月开10城，5月初OTA。

#2024北京车展##小米SU7北京车展发布会#",31分钟前,转发,64,308
大妖妖,"正常买了人生中的第一辆车，小米su7又不是那种百万豪车，我一个爱分享的人肯定要发一下纪念。
结果捅了一堆造谣男的肺管子了，说车是我干爹买的，说我长得丑的，还有给我造黄谣的。 这个也离谱，别的男博主转发我微博，他直接下面造谣我不打转向灯。我真的吐了🤮#小米汽车##小米su7#",昨天 23:33,2,66,363
王化,大家都想知道#小米su7# 的最新成绩，都知道在投资者会上公布过锁单的成绩达到70000台，今天刷新了一下，过去的四天又增加了5723台。截至4月24日锁单量已经达到75723台，发布28天已交付5781台。嗯，都知道因为时间不凑巧，还不包括我那台 #小米su7北京车展发布会#,50分钟前,4,18,69
卢伟冰,"小米汽车首次亮相北京车展

北京车展W2馆·W203展位
#小米su7#",2小时前,7,47,335
金剪刀开箱,雷总说了，小米su7，是50万以内，速度最快的车。就一个不敢承认自己是汽车博主，说自己是网红的人。竟然信口开河，质疑小米su7的速度。不就是没给钱，搞“双标”吗？#小米su7# 金剪刀开箱的微博视频,43分钟前,1,21,64
Nomy王化萌,【霞光紫与紫霞仙子】#小米su7##小米酥妻#霞光紫与紫霞仙子，开着自己的SU7嘚瑟啦！ Nomy王化萌的微博视频,14小时前,3,18,169
李肖爽,北京车展我们来了，#小米su7# W2馆见！ 北京·中国国际展览中心顺义新馆,1小时前,1,15,58
曾子言,"简单总结一下小米汽车北京车展发布会：

1. #小米SU7# 上市 28 天，锁单量已超过 75723 台，目前已交付 5781 台。

2. 上市后经过三大汽车平台实测，续航里程均为第一。易车金港赛道实测 50万以内最快。

3. 女性购买者占比高达 28%，女性车主预计占比 40-50 %，BBA 用户购买者占比 29%，苹果用户购买 ...全文",29分钟前,7,63,116
许斐,明天，#小米su7# 会首次亮相北京车展，雷总会直播发布，看点很多，SU7浙赛成绩也将揭晓 大家有什么感兴趣的问题，快来告诉我，我去帮你们找答案 许斐的微博视频,20小时前,4,51,332
字幕君GOUBA,"今天用新到的橄榄绿限量定制色小米14拍了一张小米SU7 Max 橄榄绿，这角度也太保时捷了！！

SU7应该是我买过最让我满意的车（主要是也没买过几辆）不知道是不是我故意不看车开盲盒的原因，现在觉得它很多部分都超出了我的期待！

提车视频明天下午发！有节目！

#小米su7##我在东北开电车# ...全文",14小时前,转发,35,151
AutoLab评测官,"昨天余承东在发布会上说，在前风挡上弄三层镀银会严重影响手机信号，不能为了防晒而影响信号

今天小米就回复了，小米 SU7 不仅搞了三层镀银，而且还经过了充分测试，并不影响手机信号，不过小米同时也表示，第三方包含贵金属材料的隔热膜确实有可能产生影响

有点好奇，小米 SU7 的隔热膜是用什么黑科 ...全文",13小时前,5,84,267
Cici_老魏,"#小米SU7#将在5月份进行两次OTA

5月初计划第一次 OTA:核心升级无线Carplay
5月底计划第二次 OTA:核心升级城市NOA

#2024北京车展##小米SU7北京车展发布会#",42分钟前,5,15,81
曾学忠-小米,"截止4.24号#小米su7# 锁单75723台！
从20-24号，4天新增锁单近6000台！
#小米su7# 太强了！",52分钟前,1,4,42
怕不是小小白,#小米SU7# Max 浙赛成绩，怎么样？,35分钟前,转发,12,41
我是HYK,"我的高中同学，作为特斯拉 Model 3 焕新版的车主，是如何锐评小米SU7 的，跟大家分享一下。

外观的轿跑造型跟保时捷很像，车身的姿态也很不错，不像 Model 3 那样，车屁股是翘起来的，而且刹车卡钳也比 Model 3 高性能版的好看。

内饰配置的差距很大，特斯拉的前排只有一块中控屏，没有仪表盘，也没 ...全文",17小时前,1,53,97
爱极客,"小米要发浙赛成绩，极氪今天回了四张图，您细品，我简单讲讲：

-虽然只是SU7 Max（没有V8s），但肯定会被人拿来跟吉娃娃们对比

-其实极氪这四个成绩早就公布过了，这次是拿出来炒冷饭（蹭热度）的

-小米汽车还没上市时，就有过“顶配SU7（V8s）浙赛干掉了001 FR”的传闻

-如果说SU7 Max浙赛 ...全文",16小时前,转发,56,74
新渠道-李霸天,"#小米SU7锁单破7万#

截止4/20，小米SU7的锁单破7万

难怪智界、蔚来纷纷推出“SU7专项补贴”，小米一时半会也交不了车，可以抢一波等不及的客户

#小米SU7##智界s7##蔚来#",昨天 23:34,1,37,116
铁秀IRONSHOW,"莫愁前路无知己，天下谁人不通米
#小米su7##小米##极氪007##雷军##比亚迪# 铁秀IRONSHOW的微博视频",昨天 23:12,23,33,177
小胖小胖人间宝藏,"#小米SU7#浙赛成绩，明日揭晓！
「50万以内最速量产车」，能否挑战成功？
明早09:20 发布会见！#小米SU7北京车展发布会#",昨天 23:58,3,6,71
sssgenius,#小米su7# 网上看到的一张小米su7的交付图，不知道真假，非官方发布！,昨天 23:33,8,41,94
长三角行健者,"刚刚接到一个电话，沟通了目前的业务进展，顺便分享了一下小米授权的进展，首先他们有信心在第二批授权中拿下一家，同时问我是否有必要继续扩大投资去其它地方申请，基于以下三点我认为有必要：
1. 目前佣金3.5%，0.5%建店支持（3-5月份），0.3-0.5%客户满意度奖励，考虑到装修和租金，今年可以实现微 ...全文",21小时前,5,19,49
小爱同学,"故障灯闪是什么意思？弹射模式要怎么开？不知道儿童锁在哪？
AI大模型赋能的#小米SU7#小爱同学智能语音，海量知识随行随问，懂车更懂设备的事儿！#小爱同学升级大模型#",18小时前,3,5,35
神得强Steven,"造车很苦，但成功一定很酷！

#小米SU7##2024北京车展# 北京·中国国际展览中心顺义新馆",31分钟前,2,9,28
互联网的那点事,"小米发布#小米SU7# 成绩单

上市28天锁单量已超过75723台，已交付5781台，全力扩产，计划今年交付100000台。

没想到的是苹果用户购买占比接近52% 女性用户占比28%...",34分钟前,2,12,9
陈波_小米生态链,我的车位路线真的非常刁钻，SU7的自动泊车依然丝滑，你们感受一下#小米su7##米家产品找波哥##自动泊车##自动泊车让打工人buff加满# 陈波_小米生态链的微博视频,20分钟前,5,4,21
张抗抗KK,"雷军：听说你们想蹭流量？

结果：站在别人地盘看小米#新能源大牛说##小米SU7# 北京·中国国际展览中心顺义新馆",58分钟前,4,7,25
体验more,"截止4月24日，#小米SU7# 锁单75723台，四天新增锁单近6k台，太猛了。
50万以内最速车。
城市NOA 5月开通10城，8月开通全国。",46分钟前,转发,3,17
李昂昂昂啊,小米su7的OTA计划，在浙江国际赛车场跑出了1分42秒123的成绩，位列新能源第一。 #小米su7#,43分钟前,转发,4,14
麦浪哥哥V,来啦！解锁小米SU7真正的秘密，我也找来台车体验一把，这回头率确实可以#全民拍车##小米su7# 麦浪哥哥V的微博视频,16小时前,1,1,13
钛粉托尼,#小米su7# 白色,昨天 22:33,转发,2,19
阿远Yision,#小米SU7# 手机支架挺好，可以当个车内拍摄机位📱,17小时前,转发,6,9
吴佩,"替雷总算了算，现在4月份，那年销十万就是单月11000台多点，我给大家整理了一下，目前月销11000台左右的新能源品牌，大概是这样的：

1、零跑今年3月销量14567台
2、深蓝今年3月销量13048台
3、极氪今年3月销量13012台
4、蔚来今年3月销量11866台
5、腾势今年3月销量10279台

所以，你觉得雷总这事能不 ...全文",4-23 00:56,8,60,220
谢宗桓,"小米这条视频一直在喷，我是吉娃娃....

为了证明我不是，有没有在广州有极客001或者是007的朋友，我免费帮你调音响，你只要借我半天就好了，你想一起出镜也可以，来做一个真实的评测，有兴趣的人跟我联系。

#小米SU7##极氪001##极氪007#",4-23 08:11,3,44,75
42号车库-莱因哈特,"今天小米 SU7 的 7 万锁单一出来，又有很多朋友开始讨论纯电轿车卖不好的事情。

我的观点是：不是纯电轿车没人买，而是消费者愿意买的纯电轿车很难做。

纯电轿车受众的基数真的少吗？

显然不太可能。买轿车的人那么多，买纯电的人也那么多，尤其考虑到纯电作为代步车的属性和轿车更加契合，这两者必 ...全文",4-23 00:40,73,120,817
LAC-庆舍,"#小米su7# 真实用车分享：
苹果手机经常不识别，我不知道小米自己的手机会不会好一点。
小米汽车App长时间未使用（比如几个小时后）就经常出现无法识别到手机，从而开启车门以及启动车辆。
解决方法：打开手机APP后，3-5秒左右即可识别",4-23 20:39,18,53,174
Kevin王的日记本,"SU7黑武士已经开始交付了，@极速拍档-NANA 同款

#小米su7# 是不是心动的感觉",4-23 04:50,198,206,1744
电盒校长,"真的很业余……

很业余

别人的基操，小米Su7都做不到，智能化智能在哪里呢？

实景操作@LAC-庆舍

#小米su7# 电盒校长的微博视频",4-23 12:19,40,209,640
星月ozzZZ,"早晨看了下昨天两位大V的辩论，就无边框后视镜说点个人看法。
汽车后视镜在雨天的清晰度，不管有没有边框都影响不大。

所有光学后视镜，镜面都是一块竖直杵着的玻璃，整体造型大差不差，跟流线型水滴造型明显不同。
在行驶中，这种形状会导致镜面位置有背压，雨水和灰尘都会附着上去——无论有没有边 ...全文",4-23 21:39,6,26,39
云股东,当小米su7遇到特斯拉…#小米su7##特斯拉##陈震称小米SU7背离自己预期# 云股东的微博视频,4-23 20:02,9,43,161
懒酱的日记本,"听说，关于#小米SU7# 的辟谣“力度”有三种 ？

轻档，徐洁云
中档，小米公司发言人
重档，小米法务部

不过，玩笑归玩笑，任何有害的谣言都会伤害到“雷军最大的周边”，都应该及时地进行辟谣。

#小米称网传保险杠掉漆SU7Max经改装#",4-23 07:45,1,15,104
孙纬伦,"一进直播间就看吵架了这也太邪乎了

#陈震直播回应小米SU7争议##小米su7# 深圳·深航假日名居 孙纬伦的微博视频",4-23 07:43,9,43,202
PQ-管仲窥豹,"辅助驾驶算力排行里面
竟然是#蔚来et5# 排第一？？？竟然不是参数大神#小米su7# ！！！
我记得#蔚来et9# 也是超过1000tips的
神奇的是竟然不是ET9最高
话说回来，辅助驾驶算力越高应该越安全（建立在其他条件都一样）
就像人的反应速度越快遇到危险的时候规避越快一样吧
#大v聊车#",4-23 00:05,1,44,44
大狸子切切里,"华为Ai大师妙手回春啊！早知道我的SU7就送去给华为修了

#小米su7##华为pura70ultra##华为p70#",4-23 07:05,4,43,258
冲浪少女杨美丽,买小米SU7的理由又多了一个：吸引男大#亿点曝光计划##小米su7#小米汽车 冲浪少女杨美丽的微博视频,4-23 04:12,6,4,53
曾一鸣,#小米su7# 我的车围观了！ 曾一鸣的微博视频,4-23 01:37,转发,32,91
小怡说车,黑武士还挺帅啊#小米su7#,4-23 06:03,转发,20,55
深圳湾小海盗,#小米su7# 2024年交付目标10万辆,4-23 00:02,1,6,71
42号车库,"雷军刚刚在个人公众号上发布了一篇题为《雷军：答投资者问》的文章，分享今天在投资者大会上的回答。

摘录了一些重点：

- 最核心的技术：澎湃OS、芯片、AI 三大底层核心技术；

- 2016 年开始，小米内部就下定了 All in AI 的决心，AI 相关产品全部自研；

- 雷军个人定的目标是月销 1 万，小米 SU7 ...全文",4-23 05:13,11,33,137
