Username,Content,Post Time,Shares,Comments,Likes
詹志斌同学,"来考考你们，
这时候咋办最合适的
#小米su7# 上海",4-19 09:44,14,517,653
陈抱一,"【#小米汽车路人反应#】
提完小米SU7实在没绷住，通宵剪了一期路人反应...

#小米汽车# #小米SU7#
陈抱一的微博视频",4-8 00:13,156,155,1987
臧智渊,"#小米SU7# 橄榄绿、海湾蓝和雅灰色凑齐了。
我开始比较坚定橄榄绿色，试驾完有点喜欢海湾蓝。
大家来选选啊 北京 臧智渊的微博视频",3-20 22:21,11,82,182
Cici_老魏,"跟雷总合拍了一条DY视频，说了说霞光紫跌宕起伏的命运，结果好多人评论这个女博主是谁，她凭啥能请雷总合拍，一时间不知道该如何回答哈哈哈哈

我只能来拜托娘家的兄弟们来给捧个场关照关照了，求点个关注 id：Cici_老魏

#小米su7#",4-4 01:02,16,210,1742
开电动车的舒克,小红书刷到一个哥们，家里帕梅，打算买911，但是“误触”了小米锁单，现在发帖要退款。本来我都信了，打开主页发现在找日结….这世界太魔幻了。#小米SU7 ##小米回应无法退定金问题#,3-30 21:46,53,289,1.1万
阿苯,#小米su7# 睡醒了，下楼随手展示（炫耀）一下我的新车，小米SU7 Max。我可太喜欢了 阿苯的微博视频,4-3 23:58,22,177,701
李大锤同学,全网首个？小米 SU7 充电桩装好啦！坐等提车！#小米su7# 李大锤同学的微博视频,4-2 09:03,41,120,2784
百车全说三刀,好嘛，不止一个人问我奔驰EQE和小米SU7怎么选？ 但凡问这个问题的都建议买EQE，因为你缺一台奔驰，而不是缺一台电车。 #奔驰eqe# #小米SU7#,4-16 02:12,14,146,247
电车室长,"小米SU7和智己L6的内饰设计，你更喜欢哪种？

#新能源大牛说##小米SU7##智己L6#",4-8 23:45,18,150,320
汽车洋葱圈-张辰,"看了@堂主撩車 堂主的视频，想给小米汽车提一些建议

回顾一下，堂主开SU7冲出赛道的事件：

1，没有任何改装，想看原厂SU7的真实性能

2，他知道电控全解耦刹车的特性，并没有连续刷飞行圈。

3，直接原因是：原厂刹车皮磨没了

4，主观原因是：作为车手，虽然理性告诉自己刹车皮可能是没了，但抱有侥 ...全文",4-11 03:18,6,45,82
金剪刀开箱,陈震怼小米SU7这件事，看完他“全新第9代丰田凯美瑞”的视频，我终于知道原因了！#小米su7##陈震回应小米su7测评争议# 金剪刀开箱的微博视频,4-19 07:03,73,365,3345
羊驼的睡衣,老爸第一次开新能源车，62岁纯主观，锐评小米SU7和智界S7#小米su7##智界S7##新能源汽车# 羊驼的睡衣的微博视频,4-19 06:04,44,97,472
类星频道,"我们的小米 SU7 终于提车了！

因为提车比较晚，本来我们已经放弃做小米 SU7 内容的想法了，但是提车的时候随手记录了一些素材，没想到发生了一些好玩的事情。

在本期视频中你将看到：

- 小米交付中心门口都有什么车？
- 提走一辆小米 SU7 的流程是怎么样的？
- 一个带着小米帽子的 @不是郑小康
- 当 ...全文",4-22 08:18,581,73,153
42号车库-莱因哈特,"今天小米 SU7 的 7 万锁单一出来，又有很多朋友开始讨论纯电轿车卖不好的事情。

我的观点是：不是纯电轿车没人买，而是消费者愿意买的纯电轿车很难做。

纯电轿车受众的基数真的少吗？

显然不太可能。买轿车的人那么多，买纯电的人也那么多，尤其考虑到纯电作为代步车的属性和轿车更加契合，这两者必 ...全文",4-23 00:40,72,117,814
卢伟冰,"雷总宣布，
2024年#小米su7# 交付目标超过10万！",4-22 22:04,90,339,4284
Y车评_李扬,"小米SU7标准入门版，我试驾以后总体感觉，定位就是正常的一台家用车，吹点与槽点如下：

第一、造型，不管造型这项吹点有没有争议，但是至少颜值是在线的。

第二、底盘悬架的表现直逼标轴5系，这台车的底盘质感是五十万级。

第三、配置齐全，这次试驾的车型仅仅是su7入门版，售价21.59万，智能座舱有 ...全文",4-19 10:27,43,90,353
