评论者姓名,评论时间,评论点赞数,评论者IP归属地,性别,评论者关注数,评论者粉丝数,评论内容
农村小毕毕,2024-04-24 10:14:09,666,来自江苏,男,606,57,劳改犯讲法律，这你受得了吗？？？
麦特陈,2024-04-24 10:01:51,283,来自广东,男,987,41.2万,所以小米SU7的方向盘和保时捷到底哪里像了 ？都能控制方向 ？
玛粒儿的饲养员,2024-04-24 10:02:42,304,来自重庆,男,362,276,雷总去看看铁秀的视频！快半个小时，对SU7标准版跟Max版评价都很高！
堂主撩車,2024-04-24 11:18:13,265,来自上海,男,865,236.5万,啊啊啊啊，我刚准备去跑浙赛，咱就发成绩了！好气！行吧，到时候我换胎去干罗开罗！
弈剑狗斯特,2024-04-24 10:23:44,97,来自上海,男,327,126,小米:目标十五到二十年成为全球前五车企，陈震:目标成为中国车企前进路上的绊脚石，顺便收点钱只能说人生有梦，各自精彩
beyondsil,2024-04-24 10:01:36,79,来自湖南,男,151,4,牛逼啊，这个家用车跑浙赛？不是说v8s的才是赛道版么
孤读逆旅,2024-04-24 10:26:17,83,来自上海,男,82,196,我将于今年十月六号在我老家农村举办婚礼，今天早上我和未婚妻聊起婚礼上的婚车。  “要是能有八辆清一色的SU7就漂亮了”，我未婚妻感叹道。  八辆SU7的排面固然是好，可这远远超出了我的能力。  婚车没用上小米SU7，也成为了我们的一个小小遗憾，我想，这就是SU7的魅力吧。  祝小米早日走进世界前五！
llp手托腮,2024-04-24 10:05:17,7,来自广西,男,241,22,雷总，陈震说手机支架放手机还有挂其他东西，不经过报备算违法，小米这个怎么说？
-潼灵-,2024-04-24 10:05:40,46,来自广东,男,40,2,什么时候建设小米汽车二期工厂
私中,2024-04-24 10:10:17,24,来自江西,男,212,101,雷总希望您别忘记了发布会当晚一分钟内下订Pro版本的车主，他们也是第一批支持您的“创始版”！
weikingh,2024-04-24 10:11:55,27,来自广东,男,623,456,雷总，我是TOPTOY中国积木员工，希望可以和小米SU7合作联名开发一款积木车，让更多汽车爱好者更加深入了解小米SU7及中国积木！
AKaNaki,2024-04-24 15:08:49,2,来自中国香港,女,125,10,雷总 他们有了百万的加速能力 但没有百万的赔付能力 怎么办？
胖哥杨力,2024-04-24 10:09:14,26,来自北京,男,440,415.1万,期待明天圈速公布！会不会比另一款国产电动跑车还快呢？
老夫仙气十足,2024-04-24 13:30:42,7,来自江苏,男,61,1898,雷总，车机导航没有限行提示，我去上海走了高架被扣了1分200块，能不能先把地图限行搞上去啊，没有限行的导航不是好导航
宗教迪,2024-04-24 12:58:36,18,来自江西,男,278,14,雷总，@陈震同学 说小米汽车手机支架不合规。快充点钱吧，把小米汽车黑成啥样了
菜菜不吃菜9,2024-04-24 10:59:44,8,来自北京,女,579,689,加油小米！！昨天看了一眼某汽车博主的直播……额 他的点评这么重要吗 多一个不多少一个不少吧 一直说 感觉……
旺仔lumon,2024-04-24 10:01:18,0,来自山东,男,39,1,刹车片够用不
Rode罗德,2024-04-24 10:02:03,14,来自广西,男,166,165,实战胜于雄辩
贾博不假,2024-04-24 17:37:04,0,来自河南,男,726,1215,雷总，这个电视挂墙上插usb口很不方便啊，不能改一下设计么。小米啥都好就是一想到电视插usb就一肚子火
樱桃小丸犊犊,2024-04-24 11:49:53,5,来自江苏,女,420,101,和陈震对峙那个人，能不能别让他和小米扯上关系了
西瓜瓜和菠萝萝1,2024-04-24 11:09:14,7,来自河南,男,27,1,用v8s的su7ultra会不会是全球限量发售啊？毕竟跑的比较快，危险系数高。卖的多的话，闲话太多，不如卖贵点
想做雷厂长头号迷妹,2024-04-24 10:01:23,6,来自山东,女,3,13,车展见，雷总，期待明天
